PMC	PMID
3045734	21369345
3057922	19426605
3075946	19685189
3077677	19209711
3093136	19831486
3260642	22291565
3263796	19657010
3325123	19186122
3424515	20353258
3467150	19934335
3718046	19276380
4060839	19363135
4208723	19466547
4219202	25378895
4235767	25414534
4402237	19513847
4435602	25995531
4980100	19815825
5675714	19526501
6495153	19594581
6495932	19614674
6760820	19489983
7385906	19856987
2797567	19191313
2817141	20083633
2840585	20309393
2841880	20194766
2854201	20303168
2856168	20409484
2856581	20350313
2860132	20236988
2862206	20441740
2862899	20117157
2863129	20224154
2864615	20454531
2865521	20463877
2867873	20375285
2869358	20498709
2874943	20508847
2877015	20406447
2877086	20520818
2880432	20146798
2881185	20383126
2884145	20537705
2884249	20550892
2884253	20550897
2887929	20129663
2888468	20335796
2890454	20534572
2892202	20382532
2893742	20606715
2896257	20447556
2900708	20547870
2901593	20448214
2903622	20387828
2903888	20382240
2905271	20644674
2907431	20197782
2912164	20303982
2912330	20686621
2913465	20455081
2916174	20420557
2917862	20697589
2918384	20604583
2923271	20599794
2929802	20808719
2932906	20499169
2937050	20838481
2938372	20856895
2939640	20727171
2940225	20387835
2940317	20687589
2941457	20862249
2943503	20560753
2943692	20136371
2947179	20699395
2947423	20528678
2947932	20214469
2948014	20927339
2951083	20709692
2951286	20890968
2951614	20936053
2952124	20001254
2953253	20696419
2955040	20863400
2956456	21048850
2956801	20920424
2957345	20622105
2957507	20625830
2962717	20804794
2963600	21049094
2964525	20932320
2965998	21044575
2970694	20817128
2972589	20736499
2975774	20878934
2978675	21085680
2980743	21081058
2987530	21151486
2988748	21029411
2991294	21059234
2994713	21152429
2997614	20882537
2997685	21055805
2997753	21152382
3003957	21188080
3005191	20816684
3006031	21028794
3009599	21203483
3009801	21127270
3011056	21107772
3011078	20945166
3019609	21243108
3024575	20671067
3024820	20519213
3030129	21144580
3041967	21344063
3042573	20923638
3042682	21350645
3043378	21359168
3044241	21076204
3045075	20950252
3045276	21078812
3053058	21084118
3058126	21046424
3058912	21070140
3062058	20971217
3066157	21118730
3071602	21479163
3071971	20222102
3072786	20709109
3074564	20717570
3077473	21449028
3085470	21544231
3107124	21106723
3108026	21339604
3139177	20811396
3150786	20510249
3152955	20627251
3154458	20687775
3174067	20887014
3262240	22419977
3306132	21076156
3374808	20198696
3382085	20201648
3390971	20732963
3414257	20945492
3416042	20924519
3499074	21106672
3587718	23471191
3786554	20484781
3812687	20462295
4070531	20880573
4129649	25125773
4142204	20601239
4406245	21118103
5680544	20080889
6496528	20590659
6634867	21147996
6870046	20886576
7413610	32774195
7963980	19850762
2976552	21076663
2988983	20636356
3013224	20721897
3017108	21253562
3022349	21186894
3032457	21148415
3034816	21215501
3038763	21282657
3039922	20842530
3046576	21224337
3048034	21295701
3049413	21245846
3050532	21399713
3054027	21368125
3060062	21436893
3064644	21414201
3064835	21432934
3065590	22132049
3067148	21245437
3068937	21418626
3069452	21292766
3072360	21490721
3072361	21490722
3077053	21364021
3082338	21522491
3082341	21522494
3082343	21522496
3083065	21532929
3085313	21541212
3088556	21245408
3091483	21328561
3093621	21277375
3096737	21444670
3098199	21625569
3098659	21330617
3100417	21514659
3102094	21633504
3105943	21496342
3109117	21575987
3114791	21527002
3117092	21604379
3117748	21635775
3118560	21536028
3123357	21709743
3123406	21459084
3125246	21599975
3131408	21743831
3134331	21765559
3136771	21767482
3137158	21769301
3138423	21699706
3138629	21779132
3138825	21635955
3139910	21463892
3140000	21507753
3143208	21213013
3144506	21804746
3145226	21799707
3145228	21799709
3146530	21829586
3147247	21664270
3148657	21826117
3151290	21850261
3154554	21543738
3157370	21858062
3159691	22654992
3159794	21820737
3161518	21825141
3163421	21367778
3165198	21701934
3166243	21233181
3166560	21904661
3169555	21931622
3170810	21912744
3174161	21935402
3175572	21954383
3177053	21943411
3184648	21223429
3184856	21991540
3188316	21816228
3189082	21949368
3190048	21745496
3190065	21763714
3191070	21666109
3191531	22016734
3192785	22022558
3193538	21755497
3203486	21593027
3205468	22024885
3207380	22076272
3211061	21762716
3213054	21989371
3214243	21751073
3214857	22111050
3216575	22355608
3219112	22065768
3220799	21839125
3222153	21983134
3223454	22084071
3223594	21761246
3224717	22131836
3228525	21822739
3230280	21873605
3230601	22162756
3235959	22067046
3236835	22166081
3240585	22194679
3242157	21889860
3243681	22205943
3244064	22208188
3245152	22067452
3245298	22215996
3246576	22142903
3247137	21943385
3247928	22149846
3249973	22199114
3254182	22247741
3258380	22119639
3258841	22292107
3261093	22214419
3262287	23050083
3262436	22670206
3262443	22670213
3267236	22091701
3268541	22112439
3268561	22298913
3268976	22139474
3273307	22191916
3274017	22319364
3274060	22346623
3277289	21278015
3281734	22179604
3284137	21900321
3285600	21988089
3286436	21207094
3291198	21854981
3311461	22198174
3312373	22070670
3313606	22011014
3321265	22100989
3323196	21750562
3323353	21811290
3324345	22127259
3326320	22156164
3326745	22078810
3328405	21885405
3335983	21901546
3347578	22649685
3348548	22153155
3360583	22081697
3375107	21884832
3378475	21536529
3388000	21556054
3399429	22136715
3411129	22866198
3473773	21933980
3501263	21809945
3516928	21495130
3527892	21363914
3568779	23408477
3580161	21664584
3589987	22254412
3597117	21867219
3621282	21826315
3623708	22873675
3648943	23678403
3658159	21963717
3702051	21767654
3740747	21443879
3864234	24310495
3947515	21550653
3971539	22057714
3991466	21288568
4010153	22155133
4010154	21255588
4030943	24956301
4043178	22045028
4056457	21174633
4080887	21750363
4104688	21266494
4159092	25214879
4163945	22124930
4199305	25328360
4390141	25866705
4451625	26069487
4956405	22193245
5417179	21903720
6264251	22169938
7965704	21087939
3264684	22098081
3277440	22346355
3281137	22359683
3292609	22352511
3296054	22404921
3302485	22258256
3303083	22435050
3306668	22371586
3308709	22356695
3310338	22284431
3312894	22461894
3314568	22536957
3318125	22500762
3321516	22489275
3321519	22489278
3321520	22489279
3322268	22342935
3328210	22418281
3332236	22536169
3338554	22563426
3341168	22547408
3342319	22567124
3343696	22398450
3348854	22573766
3356410	22623982
3359092	22639482
3359972	22654652
3360734	22662145
3362532	22666418
3363019	23741612
3363024	23741608
3364382	22391886
3367109	22498007
3367915	22693648
3371076	22755714
3371358	22579236
3373297	22701320
3375216	22719239
3381616	22211275
3388222	22828342
3388224	22828326
3396470	22723346
3396738	22487437
3397157	22252839
3400017	22692129
3401387	22372887
3403473	22844287
3408831	22562014
3410693	22866003
3412099	22899913
3412630	22708532
3412929	22016073
3413686	22879886
3415667	22893786
3418869	22686709
3419849	22472084
